
📌 Processing: /DATA/rohan_kirti/niladri/pks/Bengali/HBQ/Bangladesh_HBQ.xlsx
✅ Saved → HBQ | boli khela | Row 0
✅ Saved → HBQ | lathi khela | Row 105
✅ Saved → HBQ | lathi khela | Row 106
✅ Saved → HBQ | lathi khela | Row 107
✅ Saved → HBQ | lathi khela | Row 108
✅ Saved → HBQ | lathi khela | Row 109
✅ Saved → HBQ | lathi khela | Row 110
✅ Saved → HBQ | lathi khela | Row 111
✅ Saved → HBQ | lathi khela | Row 112
✅ Saved → HBQ | lathi khela | Row 113
✅ Saved → HBQ | lathi khela | Row 114
✅ Saved → HBQ | lathi khela | Row 115
✅ Saved → HBQ | lathi khela | Row 116
✅ Saved → HBQ | lathi khela | Row 117
✅ Saved → HBQ | lathi khela | Row 118
✅ Saved → HBQ | lathi khela | Row 119
✅ Saved → HBQ | lathi khela | Row 120
✅ Saved → HBQ | lathi khela | Row 121
✅ Saved → HBQ | lathi khela | Row 122
✅ Saved → HBQ | lathi khela | Row 123
✅ Saved → HBQ | lathi khela | Row 124
✅ Saved → HBQ | nouka baich | Row 0
✅ Saved → HBQ | nouka baich | Row 1
✅ Saved → HBQ | nouka baich | Row 2
✅ Saved → HBQ | nouka baich | Row 3
✅ Saved → HBQ | nouka baich | Row 4
✅ Saved → HBQ | nouka baich | Row 5
✅ Saved → HBQ | nouka baich | Row 6
✅ Saved → HBQ | nouka baich | Row 7
✅ Saved → HBQ | nouka baich | Row 8
✅ Saved → HBQ | nouka baich | Row 9
✅ Saved → HBQ | nouka baich | Row 10
✅ Saved → HBQ | nouka baich | Row 11
✅ Saved → HBQ | nouka baich | Row 12
✅ Saved → HBQ | nouka baich | Row 13
✅ Saved → HBQ | nouka baich | Row 14
✅ Saved → HBQ | nouka baich | Row 15
✅ Saved → HBQ | nouka baich | Row 16
✅ Saved → HBQ | nouka baich | Row 17
✅ Saved → HBQ | nouka baich | Row 18
✅ Saved → HBQ | nouka baich | Row 19
✅ Saved → HBQ | nouka baich | Row 20
✅ Saved → HBQ | nouka baich | Row 21
✅ Saved → HBQ | nouka baich | Row 22
✅ Saved → HBQ | nouka baich | Row 23
✅ Saved → HBQ | nouka baich | Row 24
✅ Saved → HBQ | nouka baich | Row 25
✅ Saved → HBQ | nouka baich | Row 26
✅ Saved → HBQ | nouka baich | Row 27
✅ Saved → HBQ | nouka baich | Row 28
✅ Saved → HBQ | nouka baich | Row 29
✅ Saved → HBQ | nouka baich | Row 30
✅ Saved → HBQ | nouka baich | Row 31
✅ Saved → HBQ | nouka baich | Row 32
✅ Saved → HBQ | nouka baich | Row 33
✅ Saved → HBQ | nouka baich | Row 34
✅ Saved → HBQ | nouka baich | Row 35
✅ Saved → HBQ | nouka baich | Row 36
✅ Saved → HBQ | nouka baich | Row 37
✅ Saved → HBQ | nouka baich | Row 38
✅ Saved → HBQ | nouka baich | Row 39
✅ Saved → HBQ | nouka baich | Row 40
✅ Saved → HBQ | nouka baich | Row 41
✅ Saved → HBQ | nouka baich | Row 42
✅ Saved → HBQ | nouka baich | Row 43
✅ Saved → HBQ | nouka baich | Row 44
✅ Saved → HBQ | nouka baich | Row 45
✅ Saved → HBQ | nouka baich | Row 46
✅ Saved → HBQ | nouka baich | Row 47
✅ Saved → HBQ | nouka baich | Row 48
✅ Saved → HBQ | nouka baich | Row 49
✅ Saved → HBQ | nouka baich | Row 50
✅ Saved → HBQ | nouka baich | Row 51
✅ Saved → HBQ | nouka baich | Row 52
✅ Saved → HBQ | nouka baich | Row 53
✅ Saved → HBQ | nouka baich | Row 54
✅ Saved → HBQ | nouka baich | Row 55
✅ Saved → HBQ | nouka baich | Row 56
✅ Saved → HBQ | nouka baich | Row 57
✅ Saved → HBQ | nouka baich | Row 58
✅ Saved → HBQ | nouka baich | Row 59
✅ Saved → HBQ | nouka baich | Row 60
✅ Saved → HBQ | nouka baich | Row 61
✅ Saved → HBQ | nouka baich | Row 62
✅ Saved → HBQ | nouka baich | Row 63
✅ Saved → HBQ | nouka baich | Row 64
✅ Saved → HBQ | nouka baich | Row 65
✅ Saved → HBQ | nouka baich | Row 66
✅ Saved → HBQ | nouka baich | Row 67
✅ Saved → HBQ | nouka baich | Row 68
✅ Saved → HBQ | nouka baich | Row 69
✅ Saved → HBQ | nouka baich | Row 70
✅ Saved → HBQ | nouka baich | Row 71
✅ Saved → HBQ | nouka baich | Row 72
✅ Saved → HBQ | nouka baich | Row 73
✅ Saved → HBQ | nouka baich | Row 74
✅ Saved → HBQ | nouka baich | Row 75
✅ Saved → HBQ | nouka baich | Row 76
✅ Saved → HBQ | nouka baich | Row 77
✅ Saved → HBQ | nouka baich | Row 78
✅ Saved → HBQ | nouka baich | Row 79
✅ Saved → HBQ | nouka baich | Row 80
✅ Saved → HBQ | nouka baich | Row 81
✅ Saved → HBQ | nouka baich | Row 82
✅ Saved → HBQ | nouka baich | Row 83
✅ Saved → HBQ | nouka baich | Row 84
✅ Saved → HBQ | nouka baich | Row 85
✅ Saved → HBQ | nouka baich | Row 86
✅ Saved → HBQ | nouka baich | Row 87
✅ Saved → HBQ | nouka baich | Row 88
✅ Saved → HBQ | nouka baich | Row 89
✅ Saved → HBQ | nouka baich | Row 90
✅ Saved → HBQ | nouka baich | Row 91
✅ Saved → HBQ | nouka baich | Row 92
✅ Saved → HBQ | nouka baich | Row 93
✅ Saved → HBQ | nouka baich | Row 94
✅ Saved → HBQ | nouka baich | Row 95
✅ Saved → HBQ | nouka baich | Row 96
✅ Saved → HBQ | nouka baich | Row 97
✅ Saved → HBQ | nouka baich | Row 98
✅ Saved → HBQ | nouka baich | Row 99
✅ Saved → HBQ | nouka baich | Row 100
✅ Saved → HBQ | nouka baich | Row 101
✅ Saved → HBQ | nouka baich | Row 102
✅ Saved → HBQ | nouka baich | Row 103
✅ Saved → HBQ | nouka baich | Row 104
✅ Saved → HBQ | nouka baich | Row 105
✅ Saved → HBQ | nouka baich | Row 106
✅ Saved → HBQ | nouka baich | Row 107
✅ Saved → HBQ | nouka baich | Row 108
✅ Saved → HBQ | nouka baich | Row 109
✅ Saved → HBQ | nouka baich | Row 110
✅ Saved → HBQ | nouka baich | Row 111
✅ Saved → HBQ | nouka baich | Row 112
✅ Saved → HBQ | nouka baich | Row 113
✅ Saved → HBQ | nouka baich | Row 114
✅ Saved → HBQ | nouka baich | Row 115
✅ Saved → HBQ | nouka baich | Row 116
✅ Saved → HBQ | nouka baich | Row 117
✅ Saved → HBQ | nouka baich | Row 118
✅ Saved → HBQ | nouka baich | Row 119
✅ Saved → HBQ | nouka baich | Row 120
✅ Saved → HBQ | nouka baich | Row 121
✅ Saved → HBQ | nouka baich | Row 122
✅ Saved → HBQ | nouka baich | Row 123
✅ Saved → HBQ | nouka baich | Row 124

✅ COMPLETE!
📄 Live-updating CSV: /DATA/rohan_kirti/niladri/pks/Bengali/HBQ/Results_HBQ.csv
